excellent	net	netDmg	damage_dealt	QLStats	sNet	sgNet	aNet	alias	games
3.61	15.5	2522.61	8609.89	251.95	-0.08	0.54	-0.1	vuduu	41.0
2.0	-26.99	-1728.45	6718.84	-568.95	-0.45	0.09	-0.1	^1sory^7	1.0
4.5	-4.25	1813.92	8889.65	-152.52	-0.29	0.33	-0.1	Mayh	4.0
2.04	-8.35	-188.94	7292.56	-352.05	-0.44	0.24	-0.11	woo	76.0
4.5	7.83	2219.62	8420.96	175.9	0.19	0.68	-0.11	ten	6.0
0.0	-14.0	399.87	6673.86	-487.71	-0.96	0.08	-0.11	Jesus	1.0
2.57	3.98	2386.08	8449.68	-37.22	-0.44	0.31	-0.11	ridgewater	60.0
2.14	-33.34	-1704.41	6238.7	-591.72	-0.71	-0.01	-0.11	namemane	14.0
2.0	-18.99	-206.93	7893.47	-150.83	0.0	0.33	-0.11	dck	3.0
3.0	3.0	1235.6	8424.3	-255.98	-0.44	0.34	-0.12	c00L	1.0
2.17	-22.83	-289.41	7447.11	-325.45	-0.31	0.13	-0.12	kartmanio	6.0
2.0	4.57	741.4	6037.26	-294.4	-0.61	0.21	-0.12	cityy	9.0
5.0	5.0	1122.64	8223.36	-115.11	-0.14	0.29	-0.13	Endreo	1.0
2.4	-5.25	543.86	7213.56	-193.57	-0.24	0.24	-0.13	ΛятΞᴍIs4	63.0
1.67	-6.33	-498.84	5200.66	-506.4	-0.76	-0.0	-0.13	leave myname unspoken	3.0
2.0	2.0	-136.96	5683.18	-581.87	-1.01	-0.07	-0.13	::MiA::	1.0
1.57	-35.56	-2693.14	6839.95	-566.23	-0.56	0.14	-0.14	Vitur	7.0
2.5	-11.0	-645.13	6185.35	-412.18	-0.51	0.12	-0.14	Caddy	6.0
0.67	-3.67	-648.13	5379.94	-380.48	-0.51	0.13	-0.14	LeopolD	3.0
3.92	9.74	1895.37	8077.7	29.66	-0.13	0.43	-0.14	prodigy	11.0
2.0	-18.99	-709.77	6797.82	-492.05	-0.69	-0.21	-0.14	meskalin	1.0
7.0	19.99	2877.08	9063.09	215.19	0.3	0.83	-0.14	polterizer	1.0
0.0	-27.99	-2075.33	5200.33	-605.72	-0.41	-0.02	-0.14	Toa	1.0
1.0	-24.99	-1941.38	5596.2	-559.67	-0.58	0.13	-0.14	^1VK ^7Lv4Hell	1.0
3.0	-21.99	-202.93	6701.85	-456.18	-0.5	0.33	-0.14	Kentios	1.0
0.0	-30.99	-4105.68	4174.66	-680.24	-0.39	-0.0	-0.14	ovEr	1.0
2.42	-12.08	-126.24	7489.46	-279.84	-0.35	0.15	-0.14	^5sco^3rp^7	1089.0
1.4	-21.94	-724.11	7429.72	-348.77	-0.32	0.22	-0.15	^7^4hav^7	10.0
1.0	-43.99	-2532.19	6335.97	-676.03	-0.96	0.01	-0.15	^6 53RZJ^70^6!^7	1.0
2.38	-4.72	729.94	7474.79	-191.78	-0.34	0.27	-0.15	clueless	29.0
4.18	-10.37	1586.67	10129.71	72.45	0.23	0.55	-0.15	Regenbogenkotze	11.0
1.0	-19.99	-1448.54	3326.93	-786.2	-1.16	-0.32	-0.16	NicholaisoN	1.0
5.5	4.0	3222.47	11360.35	152.37	0.01	0.73	-0.16	flipper	2.0
1.0	-31.99	-1256.6	6304.98	-612.46	-0.8	0.05	-0.16	exixt	1.0
4.0	-25.99	-373.88	7488.6	-442.69	-0.61	0.21	-0.16	ne_raketa	1.0
1.0	-16.99	569.82	8483.28	-215.44	-0.13	0.22	-0.16	RedSpark	1.0
2.28	-12.49	-70.19	7205.15	-298.23	-0.36	0.18	-0.16	ari	133.0
1.0	-26.99	-2855.08	4135.67	-780.61	-1.11	-0.21	-0.16	pr!x`	1.0
1.0	-20.99	-1846.41	2768.11	-835.72	-1.27	-0.22	-0.16	zacharius_zipfelmann	1.0
0.0	-25.99	209.93	7157.7	-505.94	-0.78	0.21	-0.16	gainon	1.0
2.49	-8.84	-125.38	6879.36	-294.86	-0.28	0.22	-0.16	KaShiS	47.0
2.9	-16.23	-412.05	7993.07	-296.81	-0.29	0.29	-0.17	evoldore	143.0
3.12	-7.65	305.08	8111.01	-216.84	-0.22	0.43	-0.17	Respa	69.0
2.62	-10.87	-208.55	7910.27	-210.87	-0.18	0.25	-0.17	Meshhead	8.0
3.0	-18.99	-83.97	6892.79	-600.47	-0.97	-0.04	-0.17	Seri	1.0
4.33	17.66	3325.93	9918.15	161.48	-0.21	0.58	-0.17	oXI	3.0
3.88	0.01	2394.59	9496.01	83.78	-0.07	0.44	-0.18	KungFool	93.0
2.0	-33.99	-3277.95	4913.42	-695.21	-0.73	-0.1	-0.18	Shnookes	1.0
1.01	-25.31	-1602.54	5808.83	-612.88	-0.83	-0.23	-0.18	Xhipper	1.0
0.0	-24.99	-2968.05	2664.15	-846.9	-1.28	-0.49	-0.18	Daïkiry	1.0
4.0	-29.99	-1826.41	7552.58	-457.87	-0.36	0.22	-0.18	ipx	1.0
0.0	-19.99	221.93	8231.36	-369.7	-0.74	0.25	-0.18	ntE	1.0
1.36	-27.08	-1899.1	5985.33	-515.62	-0.54	-0.04	-0.19	-ffa-brucelee	88.0
7.0	10.0	3948.73	10979.48	132.5	-0.13	0.58	-0.19	^6kyzeR^7	1.0
0.0	-31.99	-3500.88	1229.61	-901.26	-1.48	-0.39	-0.19	acrus	1.0
2.0	-45.99	-4599.52	5594.2	-706.88	-0.57	-0.13	-0.19	WaVe	1.0
1.5	-14.58	-600.91	5725.48	-354.07	-0.54	0.04	-0.19	Photon	16.0
0.0	-29.99	-1563.5	5561.22	-654.47	-1.07	-0.19	-0.19	buddy™	1.0
0.0	-34.99	-2205.29	5340.29	-573.96	-0.5	0.08	-0.19	garbol	1.0
3.0	11.0	2928.06	8833.17	-49.23	-0.54	0.42	-0.2	i7	1.0
9.4	15.4	3185.18	10710.76	508.82	0.89	0.87	-0.2	JFK	5.0
1.8	10.6	406.87	4712.49	-70.77	-0.18	0.22	-0.2	^1♋ ^2bpm^7	5.0
1.76	-14.51	-633.74	6685.96	-457.97	-0.63	0.05	-0.2	bias	4.0
0.0	-29.99	-3251.96	3097.01	-784.07	-1.07	-0.36	-0.2	Kishke	1.0
3.5	-24.49	-296.15	8426.3	-340.72	-0.38	0.23	-0.2	edniM	4.0
1.0	-21.99	-1343.57	6350.96	-593.59	-0.89	0.02	-0.2	^5|^7vesp	1.0
3.0	-12.0	-61.98	8182.37	-349.19	-0.49	0.4	-0.21	^7zhi^4R^7	1.0
2.0	-32.99	-2621.16	3721.81	-750.93	-0.97	-0.23	-0.21	ZozoLaBombe	1.0
0.0	-2.0	-1182.62	4276.63	-626.09	-0.99	0.09	-0.21	SouJirO	1.0
2.0	-25.33	-1773.1	5741.16	-600.86	-0.64	0.0	-0.21	agro*style	3.0
1.94	-16.03	-944.51	6686.83	-413.73	-0.43	0.05	-0.22	modul1c	128.0
2.36	-14.94	98.68	7452.28	-294.39	-0.38	0.24	-0.22	^2m^4l^5s^3k^7	36.0
1.0	-7.0	-2312.26	2125.32	-867.87	-1.29	-0.3	-0.22	Butter Blood Vodoo	1.0
0.0	-37.99	-2520.19	3290.94	-864.34	-1.43	-0.35	-0.22	Ph1	1.0
4.0	6.0	2610.16	7488.6	-250.98	-0.73	0.24	-0.23	ChessClub ♜ Neyron	1.0
0.0	-3.0	1341.57	7120.71	-238.99	-0.67	0.31	-0.23	paypej	1.0
0.62	-29.37	-2124.19	5344.66	-616.39	-0.88	-0.09	-0.23	way2foolish	8.0
1.0	-37.02	-3675.71	2013.94	-889.65	-1.37	-0.43	-0.23	FracKture	1.0
7.0	15.99	5861.12	13576.64	719.53	0.43	1.04	-0.23	scandal	1.0
1.68	-27.45	-2123.94	6001.97	-532.54	-0.57	-0.1	-0.24	^6kai^7 Vincent the ^3Beast^7	2126.0
1.24	-10.23	-1041.86	5113.93	-461.35	-0.54	0.13	-0.24	Imperator_Valium	21.0
1.75	-31.82	-1866.15	7255.67	-473.13	-0.44	0.2	-0.24	corvu	12.0
0.0	-25.99	-939.7	4984.4	-631.93	-1.01	-0.31	-0.24	theblackdahliamurder	1.0
3.0	-21.33	-229.93	8354.32	-208.08	-0.06	0.25	-0.24	dobromato	3.0
1.0	-14.0	-669.79	4417.58	-642.96	-0.97	-0.19	-0.24	Gibzon	1.0
0.0	-32.99	-1656.47	6280.98	-652.44	-0.95	0.01	-0.24	fæsk	1.0
0.0	-38.99	-4337.61	1777.43	-906.56	-1.49	-0.5	-0.25	EAG37	1.0
1.14	-43.43	-4406.16	5044.5	-614.99	-0.43	-0.01	-0.26	^2alehightor^7	79.0
0.0	-36.72	-2844.74	5722.12	-577.72	-0.51	-0.09	-0.26	Norbert Hückeswagen	1.0
4.33	-8.33	964.02	8715.2	-7.42	0.3	0.48	-0.26	zoot	3.0
2.0	18.99	565.82	5999.07	-171.99	-0.38	0.24	-0.26	Drago	1.0
0.0	-28.99	-2499.2	4707.49	-714.31	-1.06	-0.23	-0.27	Nautilus	1.0
2.0	-32.99	-2286.27	5982.08	-662.64	-0.82	-0.11	-0.27	ur mom	1.0
2.0	-12.0	332.89	6462.93	-281.78	-0.45	0.02	-0.27	Letoff	1.0
3.0	-24.99	75.98	9108.08	-267.27	-0.06	0.23	-0.27	tron	1.0
2.03	-30.41	-936.76	7178.8	-461.56	-0.61	0.11	-0.27	fo^1L^7n	1.0
1.0	-22.05	-1374.33	6257.17	-352.38	-0.07	0.22	-0.28	FrosT	1.0
2.0	-16.99	-985.68	5072.37	-647.49	-0.97	-0.07	-0.28	Prometheus	1.0
2.08	-21.33	-1523.76	6025.32	-462.43	-0.4	0.07	-0.28	eugene	12.0
1.5	-31.49	-1626.48	5803.64	-665.39	-0.91	-0.08	-0.28	TUBORG_	2.0
4.0	16.99	2300.26	8307.33	204.06	0.44	0.5	-0.28	slain3	1.0
4.0	-15.0	-805.74	6551.9	-488.72	-0.57	0.12	-0.28	s!Roj	1.0
1.0	-20.49	-418.37	5491.24	-583.64	-0.97	0.02	-0.29	SmOkZz	2.0
2.82	-1.7	432.36	7467.71	-252.02	-0.4	0.34	-0.29	^1¡ ^7Ɽαǥ℮	73.0
1.0	-20.01	539.28	7041.61	-447.1	-0.84	0.2	-0.29	ٰ	1.0
1.87	-19.49	-780.37	7344.77	-417.37	-0.51	0.11	-0.29	^1oMg ^7LunatiC	8.0
3.0	-12.0	1404.05	8982.12	-232.65	-0.46	0.22	-0.29	r3d	2.0
3.0	-26.99	-669.79	10100.76	-74.25	0.2	0.46	-0.29	^2`^7`^3`^7	1.0
4.0	-4.0	460.85	7832.49	-259.92	-0.35	0.11	-0.29	^1^^7RoMe^7	1.0
0.5	-24.49	-2276.27	3216.97	-813.07	-1.22	-0.25	-0.29	KTNM	2.0
1.77	-25.43	-1331.72	6455.08	-472.8	-0.54	-0.08	-0.29	^3AC/DC ^7Charv	386.0
0.0	-27.99	-2202.29	2105.32	-891.37	-1.44	-0.31	-0.29	D4Rk^1FF!^7	1.0
2.34	-20.58	-495.97	7427.2	-375.46	-0.44	0.08	-0.3	cB Duffi	215.0
0.0	-45.99	-4328.61	3615.84	-827.1	-1.29	-0.36	-0.3	daraz69	1.0
1.75	-8.9	-715.41	5964.75	-379.17	-0.5	-0.01	-0.3	DEFENDER	272.0
1.0	-31.99	-3047.02	3472.89	-798.41	-1.07	-0.36	-0.3	lazyga	1.0
1.5	-16.66	-1141.3	5332.29	-476.79	-0.48	0.01	-0.3	dzouKy	6.0
4.0	-30.99	-2918.06	5676.18	-684.72	-0.59	-0.03	-0.31	spid	1.0
0.8	-10.4	-496.24	5481.04	-495.35	-0.79	0.11	-0.31	^1AA  ^7Arices	5.0
1.72	-21.03	-956.46	6848.44	-444.11	-0.56	0.06	-0.31	vix	25.0
2.8	7.4	1563.3	7100.32	-84.98	-0.45	0.25	-0.32	Terrutas	5.0
0.0	6.5	770.75	3814.28	-446.45	-1.04	-0.07	-0.32	Anat	2.0
4.25	9.25	1895.31	8427.96	-77.95	-0.19	0.61	-0.32	^5faye   ●^7	12.0
2.5	-8.5	-428.36	6419.94	-331.61	-0.42	0.17	-0.33	hamzah	4.0
1.0	-17.26	-63.37	6601.99	-439.75	-0.78	0.08	-0.33	^4matr^21^4x.^7	5.0
0.0	-68.98	-4515.55	7165.7	-658.43	-0.79	-0.15	-0.33	^1ЯƟVƖ^7ɌUƁƖ	1.0
0.0	-3.0	442.86	5795.14	-364.21	-0.79	0.35	-0.33	Bailey	1.0
1.0	14.0	845.23	5580.71	-139.34	-0.53	0.3	-0.33	Syst3m	2.0
0.0	-57.98	-6587.89	2461.21	-881.47	-1.4	-0.56	-0.33	^1Donne^2Moi^3Ta^4CHATTE^7	1.0
0.0	-20.49	-814.74	6712.85	-498.37	-0.78	-0.01	-0.33	t0ne	2.0
1.56	-10.22	-315.68	6701.4	-418.97	-0.6	0.07	-0.33	sovak	9.0
0.0	-28.99	-2207.29	2730.12	-875.26	-1.45	-0.3	-0.34	有很多小电影一起看看	1.0
0.33	-22.4	-1780.86	4371.6	-659.73	-0.92	-0.28	-0.34	^2vahue^7	3.0
2.0	-18.99	-472.35	7292.66	-254.5	-0.05	0.12	-0.34	aurin	2.0
3.14	-16.87	-149.58	8074.58	-297.67	-0.3	0.21	-0.35	BaMoFu	110.0
3.0	-12.0	707.77	7208.69	-413.01	-0.57	0.24	-0.35	eki22	1.0
2.0	-22.99	-722.77	6548.9	-510.35	-0.7	0.12	-0.35	czang	1.0
1.52	-25.61	-1637.15	5885.36	-519.51	-0.6	-0.12	-0.35	^710^1elo^7guy ^1SOMBRES^3PING^7	805.0
1.5	-39.49	-3330.93	5593.7	-682.6	-0.7	-0.1	-0.35	Vieudebris	2.0
1.66	-17.82	-1038.59	6695.34	-365.79	-0.28	0.15	-0.36	^48PLAY^7 n^4e^1x^7	77.0
0.25	-28.74	-2277.02	4305.12	-623.72	-0.62	-0.18	-0.36	^1fr^74^1nz^7	4.0
0.0	-10.5	-496.34	4254.13	-551.73	-0.93	-0.11	-0.36	GGSh0w	2.0
1.0	-29.13	-3084.88	4103.47	-780.91	-1.1	-0.2	-0.36	sciencepool	1.0
2.0	-6.0	396.87	6780.82	-441.33	-0.77	0.17	-0.36	.BaNaNa_	1.0
0.29	-43.7	-4269.49	3990.79	-711.75	-0.86	-0.29	-0.37	0oSundanceo0	14.0
1.0	-3.0	-1111.64	6158.02	-566.34	-0.87	0.15	-0.37	kingpin1	1.0
1.0	-24.99	-2021.85	4769.47	-626.26	-0.82	0.0	-0.38	def	2.0
5.44	13.66	2867.52	10275.04	200.84	0.09	0.76	-0.38	Xarthez	9.0
2.76	-24.84	-628.64	7671.04	-369.83	-0.4	0.22	-0.38	GashaSrey	121.0
1.0	-15.0	-2065.34	1482.52	-923.44	-1.51	-0.34	-0.38	hurtycz	1.0
3.93	10.39	2127.59	9213.68	39.42	-0.09	0.66	-0.38	Ťix	15.0
1.5	-19.99	-172.44	8405.3	-327.88	-0.56	0.17	-0.38	cleaner_le_magnifique	2.0
4.0	3.0	1668.46	8309.83	-130.24	-0.21	0.33	-0.38	Ra_BufK	2.0
1.4	-16.19	-697.98	5850.92	-541.17	-0.79	-0.08	-0.39	Steve Jobs	5.0
1.5	11.0	2381.74	7491.6	-20.35	-0.51	0.35	-0.39	^^0Wood^7	2.0
1.75	-5.0	317.49	6743.44	-320.36	-0.6	0.11	-0.4	raw	4.0
0.0	-11.0	-748.26	4915.92	-550.5	-0.96	-0.02	-0.4	dvx	2.0
2.19	-10.62	-221.24	6772.56	-317.59	-0.36	0.06	-0.4	^1Svemirko^7	63.0
2.46	-15.92	-196.24	8073.56	-366.62	-0.48	0.29	-0.4	Vuuda	13.0
1.0	-37.99	-3010.53	6360.96	-637.04	-0.76	-0.03	-0.4	vloeii	2.0
4.0	-13.5	1427.04	11281.88	-155.71	-0.3	0.7	-0.41	opt1k	2.0
0.5	-5.0	797.24	6061.55	-428.72	-0.93	0.02	-0.42	f^4oo ^7t^4o^7p^4e^7k	2.0
1.64	-27.2	-1789.94	5941.17	-509.53	-0.52	-0.04	-0.42	Felony	257.0
3.5	-4.5	2178.8	9622.41	17.48	-0.02	0.5	-0.42	ben9.9	2.0
2.18	-13.54	-402.87	7142.98	-390.96	-0.34	0.35	-0.42	Pumpkin60LG	11.0
1.76	-21.78	-1156.1	6684.04	-468.68	-0.55	-0.06	-0.43	x40	614.0
3.24	-10.07	608.23	7888.13	-267.45	-0.42	0.23	-0.44	derzkaya	59.0
1.88	-18.01	-954.34	6606.47	-435.04	-0.48	0.05	-0.44	Rade	161.0
0.0	-3.0	26.99	3800.78	-619.03	-1.15	0.02	-0.44	FatBear	1.0
0.75	-38.4	-3108.92	5257.06	-661.61	-0.73	-0.2	-0.45	sh@dy	12.0
0.0	-18.99	-2571.17	1376.56	-867.09	-1.35	-0.29	-0.45	jpl1469	1.0
1.0	-9.5	258.42	6274.99	-441.59	-0.79	-0.11	-0.46	saDas	2.0
2.37	-9.26	555.56	7886.09	-220.93	-0.36	0.21	-0.46	shakey	54.0
1.45	-9.08	-932.04	5896.4	-425.67	-0.48	0.1	-0.46	^4[^1pvn^4]^6::^3The Reliable^7	126.0
2.37	-10.25	963.69	7982.31	-221.47	-0.44	0.22	-0.46	oi	8.0
0.0	-49.98	-4770.47	3640.83	-791.48	-1.04	-0.29	-0.47	^3syd666^7	1.0
3.19	-13.03	228.26	8325.8	-212.04	-0.06	0.37	-0.48	ARES	11.0
1.32	-37.47	-3385.43	4240.98	-700.91	-0.78	-0.3	-0.48	sick^2.^7 KOPFAB	19.0
1.0	-3.0	437.36	7765.51	-88.46	0.08	0.48	-0.49	lack	2.0
0.5	-21.25	-583.11	7022.08	-480.29	-0.76	0.01	-0.49	sn1	2.0
1.27	-19.68	-1084.82	5251.04	-623.13	-0.91	-0.21	-0.49	siggma	11.0
3.33	2.0	1559.17	8136.89	-131.04	-0.31	0.54	-0.49	I♛könig♛I Venish	6.0
2.6	-4.6	1711.05	8127.99	-90.25	-0.3	0.29	-0.5	sombre	5.0
0.67	-24.99	-3000.37	2574.17	-778.22	-1.09	-0.34	-0.51	cup1d	3.0
0.5	-44.24	-4099.43	5145.6	-730.05	-0.93	-0.14	-0.51	^^0sin^2ner^7	4.0
1.75	-16.49	-353.39	6419.69	-363.69	-0.56	0.08	-0.51	s0nax	4.0
2.0	-13.5	-1508.27	4836.45	-633.22	-0.86	-0.05	-0.51	Big Tasty	4.0
1.0	10.5	649.29	6355.96	-207.08	-0.55	0.23	-0.51	kaliberr44	2.0
3.0	-1.5	664.79	6707.35	-266.06	-0.39	0.24	-0.52	cippi	2.0
3.8	8.4	1982.76	8789.38	-45.31	-0.12	0.54	-0.55	g3st4p	5.0
0.5	-12.5	-1649.97	3711.81	-687.99	-0.86	-0.23	-0.56	NeOnLeMoN	2.0
3.47	-10.75	292.1	7970.48	-261.92	-0.31	0.17	-0.58	Mannox	72.0
5.75	23.83	3188.13	8744.76	633.93	0.4	0.52	-0.59	devknof	12.0
1.25	-20.25	-1338.09	5432.96	-574.11	-0.76	-0.05	-0.59	Adio	12.0
2.33	-28.58	-1178.46	8457.71	-334.32	-0.22	0.15	-0.59	syrius	9.0
0.86	-35.6	-3315.55	4183.54	-728.34	-0.96	-0.35	-0.59	twitch.tv/doubledigital_	7.0
1.6	-26.89	-1445.98	6584.91	-555.32	-0.69	-0.17	-0.6	MusHRooM	15.0
1.0	-29.99	-2270.77	4670.25	-618.63	-0.67	-0.17	-0.6	Kisde	4.0
3.33	-9.5	314.9	6633.7	-431.38	-0.63	0.15	-0.6	WAR HOG (OUT OF HEDGE)	6.0
1.8	-16.33	-599.23	6888.37	-386.52	-0.46	0.21	-0.62	thomassonvaldemar	139.0
0.0	-26.49	-1404.05	3135.49	-833.21	-1.4	-0.24	-0.64	deflax	2.0
0.73	-34.72	-2836.91	4447.75	-741.49	-1.07	-0.43	-0.64	SVΛRSCHIK	11.0
0.83	-41.15	-3781.45	3879.26	-772.68	-1.02	-0.35	-0.65	VaNeK	6.0
1.33	-30.99	-2342.91	5864.78	-639.13	-0.79	0.01	-0.65	octaveq	3.0
2.4	-1.86	971.17	7505.99	-153.9	-0.36	0.19	-0.65	JunkZ	15.0
0.67	-34.36	-2850.19	3956.93	-759.02	-1.04	-0.29	-0.66	^4e^5Q^7|^5a^4d^5a^4mmmmmmm^7	3.0
1.5	-22.03	-1317.65	5990.6	-531.09	-0.57	-0.04	-0.68	lollo2mygod	4.0
0.0	-18.5	-1339.83	4195.66	-595.77	-0.87	-0.09	-0.68	^4michal^7	2.0
1.54	-10.72	271.46	6327.61	-353.19	-0.61	0.12	-0.7	Kekpin	11.0
0.97	-29.31	-1954.16	5797.38	-576.28	-0.67	-0.12	-0.7	Thain	35.0
2.29	-11.88	10.24	7519.12	-333.06	-0.45	0.15	-0.71	siXsiXsix	42.0
2.0	-5.66	723.1	7470.6	-99.76	-0.19	0.24	-0.71	154smg	3.0
2.79	-2.79	236.92	7118.98	-288.09	-0.43	0.3	-0.72	A1	19.0
0.5	-19.49	-1776.68	2989.04	-785.2	-1.14	-0.27	-0.72	Spyros	4.0
1.85	-29.96	-2114.92	6557.57	-527.13	-0.57	-0.07	-0.73	vcxyvcxy2	281.0
1.0	-20.74	-1263.09	5901.11	-526.1	-0.7	0.04	-0.73	orphenq3	4.0
0.83	-33.35	-1951.7	5936.18	-590.12	-0.78	-0.09	-0.74	Karby	12.0
2.79	-5.49	-267.86	6647.84	-285.08	-0.33	0.2	-0.75	fury/ffs	33.0
0.67	-39.32	-3127.66	4671.83	-751.65	-0.95	-0.17	-0.76	Commander Pasta	3.0
0.8	-38.79	-4068.49	3396.71	-795.23	-1.03	-0.45	-0.76	^5T^7rilo	5.0
1.54	-18.88	-944.04	5395.38	-554.89	-0.79	-0.12	-0.77	Rainbow_Crab	26.0
2.5	-22.89	-1051.3	7247.94	-430.35	-0.43	0.06	-0.8	flfeelings	26.0
0.67	-35.32	-3137.66	3227.63	-835.47	-1.2	-0.51	-0.81	^3[▲] ^1Red^3bird^171^7	3.0
1.0	-28.12	-2447.96	4165.66	-724.49	-1.04	-0.34	-0.81	Amitra	8.0
1.2	-27.62	-1463.84	5348.76	-649.31	-0.96	-0.2	-0.82	optimist	5.0
1.2	-34.4	-2218.24	6112.34	-605.12	-0.67	-0.06	-0.85	thylmanoid	10.0
1.2	-30.39	-1881.66	5669.78	-626.61	-0.84	-0.12	-0.87	BANANMANX47	15.0
2.18	-11.2	321.92	6396.7	-432.39	-0.71	-0.02	-0.9	Igor Letov	6.0
0.64	-46.98	-4293.98	4831.0	-684.41	-0.7	-0.18	-0.92	NADE^2MAFIA ^5MaJiN^7loves^6Madi^7	124.0
1.0	-25.59	-1590.69	5802.34	-640.68	-0.92	0.0	-0.94	GOOGL3	5.0
0.93	-36.18	-2524.53	5400.91	-647.54	-0.8	-0.36	-0.94	l0l04	114.0
0.43	-54.27	-4809.17	4146.95	-754.2	-0.92	-0.18	-0.96	^6H^7ojo^6M^7e	7.0
1.0	-50.48	-5069.12	3528.37	-789.04	-1.01	-0.34	-1.0	Der Kommunist	4.0
0.4	-38.2	-3469.78	3324.02	-800.08	-1.11	-0.27	-1.02	xcarstenx	5.0
2.12	-20.63	-1975.64	5607.69	-569.55	-0.7	0.02	-1.05	^1H^3i^1E^7	8.0
2.22	-9.97	339.32	7076.13	-341.73	-0.5	0.19	-1.06	^1t^3oñ^2o^7	36.0
1.17	3.17	2062.0	7122.38	-162.11	-0.75	0.1	-1.16	andrasrx8	6.0
1.0	-31.63	-2783.29	4450.84	-717.1	-0.95	-0.24	-1.16	crazy-lazy	11.0
0.14	-36.27	-3686.25	2912.64	-815.99	-1.14	-0.36	-1.2	Denizo	7.0
1.32	-28.88	-1829.71	5804.29	-604.66	-0.77	-0.11	-1.27	^4Sla^7Y^4eR^7	28.0
1.45	-27.81	-1210.16	6463.47	-519.86	-0.61	0.02	-1.35	^5Air^7Grue	11.0
0.75	-30.62	-1589.74	4813.96	-667.85	-0.97	-0.42	-1.38	^1Se×i^7pÏpÏ	8.0
1.0	-22.03	-1647.06	5077.68	-639.06	-0.91	-0.2	-1.47	JohnHyper	11.0
